Yes,0.00,13.18,25.52,25.78,14.92,3.34,1.86,28.33,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,13.21,27.67,25.15,14.90,3.29,1.86,33.67,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0,1,1,3.2689,3.3328,3.3358,3.3374,3.3335,3.3327,3.3267,3.3260,3.3328,3.3326,3.3482,3.2724,3.2849,3.3303,3.3286,3.3294,3.3207,3.2323,3.3301,3.3245,3.3390,3.3340,3.2729,3.3378,3.3395,3.3391,3.3372,3.3366,3.3355,3.3327,3.3228,
Yes,0.00,13.17,25.52,25.78,14.92,3.34,1.86,28.33,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,13.22,27.68,25.15,14.90,3.29,1.86,33.69,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0,1,1,3.2689,3.3329,3.3357,3.3373,3.3335,3.3327,3.3267,3.3260,3.3326,3.3325,3.3482,3.2725,3.2848,3.3302,3.3285,3.3294,3.3207,3.2323,3.3300,3.3245,3.3389,3.3339,3.2729,3.3378,3.3394,3.3391,3.3373,3.3366,3.3355,3.3327,3.3227,
Yes,0.00,13.16,25.52,25.78,14.92,3.34,1.87,28.33,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,13.21,27.68,25.15,14.90,3.29,1.86,33.69,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0,1,1,3.2690,3.3328,3.3359,3.3374,3.3334,3.3327,3.3267,3.3260,3.3329,3.3326,3.3483,3.2726,3.2850,3.3304,3.3285,3.3294,3.3206,3.2324,3.3302,3.3246,3.3390,3.3340,3.2730,3.3380,3.3396,3.3392,3.3371,3.3367,3.3357,3.3327,3.3228,
Yes,0.00,13.17,25.52,25.78,14.92,3.34,1.86,28.34,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,13.21,27.68,25.15,14.90,3.29,1.86,33.70,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0,1,1,3.2689,3.3329,3.3359,3.3374,3.3335,3.3327,3.3266,3.3260,3.3328,3.3326,3.3483,3.2724,3.2849,3.3303,3.3285,3.3294,3.3208,3.2322,3.3300,3.3245,3.3390,3.3339,3.2728,3.3378,3.3395,3.3392,3.3371,3.3366,3.3354,3.3327,3.3227,
Yes,0.00,13.18,25.52,25.78,14.92,3.34,1.86,28.34,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,13.22,27.68,25.15,14.90,3.29,1.86,33.69,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0,1,1,3.2689,3.3328,3.3359,3.3374,3.3335,3.3327,3.3267,3.3260,3.3327,3.3324,3.3482,3.2725,3.2849,3.3304,3.3286,3.3292,3.3206,3.2324,3.3302,3.3246,3.3390,3.3340,3.2729,3.3380,3.3396,3.3392,3.3371,3.3364,3.3355,3.3327,3.3227,
Yes,0.00,13.18,25.52,25.78,14.92,3.34,1.86,28.36,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,13.21,27.68,25.15,14.90,3.29,1.86,33.70,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0,1,1,3.2690,3.3327,3.3357,3.3372,3.3334,3.3326,3.3267,3.3261,3.3327,3.3325,3.3482,3.2725,3.2849,3.3303,3.3285,3.3293,3.3206,3.2323,3.3301,3.3246,3.3389,3.3340,3.2728,3.3378,3.3395,3.3391,3.3371,3.3366,3.3354,3.3326,3.3227,
Yes,0.00,13.18,25.52,25.78,14.92,3.34,1.87,28.34,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,13.22,27.68,25.15,14.90,3.29,1.86,33.70,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0,1,1,3.2689,3.3328,3.3359,3.3374,3.3335,3.3327,3.3266,3.3259,3.3327,3.3325,3.3482,3.2724,3.2848,3.3304,3.3285,3.3293,3.3207,3.2322,3.3301,3.3246,3.3391,3.3340,3.2727,3.3378,3.3396,3.3392,3.3372,3.3366,3.3354,3.3327,3.3227,
Yes,0.00,13.17,25.52,25.78,14.92,3.34,1.86,28.35,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,13.22,27.69,25.15,14.90,3.29,1.86,33.71,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0,1,1,3.2688,3.3329,3.3359,3.3374,3.3335,3.3328,3.3266,3.3260,3.3327,3.3326,3.3482,3.2724,3.2849,3.3304,3.3285,3.3294,3.3208,3.2322,3.3301,3.3246,3.3391,3.3340,3.2728,3.3379,3.3396,3.3392,3.3372,3.3367,3.3354,3.3328,3.3228,
Yes,0.00,13.17,25.53,25.78,14.92,3.34,1.86,28.37,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,13.22,27.68,25.15,14.90,3.29,1.86,33.70,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0,1,1,3.2689,3.3330,3.3359,3.3374,3.3335,3.3326,3.3265,3.3259,3.3327,3.3325,3.3482,3.2724,3.2849,3.3304,3.3285,3.3293,3.3206,3.2322,3.3300,3.3244,3.3389,3.3340,3.2728,3.3378,3.3395,3.3392,3.3371,3.3365,3.3355,3.3327,3.3228,
Yes,0.00,13.16,25.53,25.78,14.92,3.34,1.86,28.38,0x0,0x0,0,0,0.00,0.00,0.00,Yes,0.00,13.21,27.68,25.15,14.90,3.29,1.86,33.70,0x0,0x0,0,0,0.00,0.00,0.00,Manual,0.00,0.00,0.00,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.000000,0,1,1,3.2690,3.3328,3.3359,3.3375,3.3335,3.3327,3.3267,3.3259,3.3328,3.3326,3.3482,3.2723,3.2848,3.3304,3.3286,3.3294,3.3208,3.2322,3.3300,3.3246,3.3392,3.3341,3.2728,3.3379,3.3396,3.3392,3.3372,3.3367,3.3354,3.3326,3.3228,
